conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1929048305784287703,Sun Jun 01 05:41:40 +0000 2025,3,LUCU SEKALI BILA TBC BISA DI TULARKAN LEWAT UDARA. KASUS COVID MENCUAT LAGI APAKAH VAKSIN JUALAN BILL GATES KEMARIN BELUM HABIS TERJUAL?! ATAU TARGET GENOSIDA DALAM BENTUK VAKSIN TERHADAP MANUSIA BELUM TERCAPAI? BILL GATES!!! KAU SUDAH TUA BANGKA MASIH RAKUS DUNIA ASTAGHFIRULLAH!,1929050694322905492,,nenglaela93,in,,0,0,0,https://x.com/undefined/status/1929050694322905492,1588842390324137984,
1927368440811008138,Sun Jun 01 05:41:27 +0000 2025,0,@RELIGIONfromGOD @christian81789 @SecKennedy @CDCgov @POTUS @NIHDirector_Jay @DrMakaryFDA Saya tidak menemui sebarang video yang boleh dipercayai di mana Bill Gates menyatakan hasrat untuk mengurangkan penduduk dunia menggunakan vaksin atau menunjukkan vaksin mengubah DNA manusia. Dakwaan ini sering dikaitkan dengan salah tafsir ucapan Gates pada 2010 di TED Talk ,1929050640464097301,,RELIGIONfromGOD,in,,0,0,0,https://x.com/undefined/status/1929050640464097301,1720665183188922368,
1927368440811008138,Sun Jun 01 05:38:59 +0000 2025,0,@grok @christian81789 @SecKennedy @CDCgov @POTUS @NIHDirector_Jay @DrMakaryFDA adakah grok pernah menonton video bill gates menyatakan tujuan beliau untuk kurangkan jumlah penduduk dunia dengan menggunakan vaksin dan pada video berkenaan juga beliau menunjukkan vaksin mengubah dna manusia.,1929050018889216384,,grok,in,,0,1,0,https://x.com/undefined/status/1929050018889216384,1226553139,
1929043777387119035,Sun Jun 01 05:14:11 +0000 2025,0,Kantor Budi Gunadi Mau Digeruduk Massa Imbas Vaksin Bill Gates https://t.co/ssH9R6RT0k,1929043777387119035,,,in,,0,0,0,https://x.com/undefined/status/1929043777387119035,990237626,
1929043570197184578,Sun Jun 01 05:13:21 +0000 2025,0,oh yg uji coba vaksin bill gates ya? gamau ah.. kasi aja buat enabler rejim ,1929043570197184578,,,in,,0,0,0,https://x.com/undefined/status/1929043570197184578,1465609345001877505,
1928964717936079108,Sun Jun 01 04:58:23 +0000 2025,0,@ARSIPAJA Soalnya bentar lagi pemerintah jualan vaksin. Vaksin TBC kan udah deal tuh ma bill gates,1929039802873295122,,ARSIPAJA,in,,0,0,0,https://x.com/undefined/status/1929039802873295122,98318430,
1929030527186514105,Sun Jun 01 04:21:31 +0000 2025,0,Lihat video iceusiswanti221! #TikTok https://t.co/J8OUsWppaZ Wooiii sadarlah.. kita sedang di rusak oleh bill gates.. jualan vaksin doank. Rakyat harus tolak vaksin nya bill gate s meskipun gratis',1929030527186514105,,,in,,0,0,0,https://x.com/undefined/status/1929030527186514105,1603661765325135872,
1929025862537548036,Sun Jun 01 04:02:59 +0000 2025,0,Warren buffett masih berinvestasi di usia senja Elon musk masih bekerja Bill gates masih promosi vaksin tbc Hidup macam apa ini Aku ingin rebahan mnonton anime di usia tua,1929025862537548036,,,in,,0,0,0,https://x.com/undefined/status/1929025862537548036,1395012014511067139,
1929019240947888334,Sun Jun 01 03:59:26 +0000 2025,0,@txtdrjkt curiga nanti disuruh vaksin dari bill gates,1929024969419493830,,txtdrjkt,in,,0,0,0,https://x.com/undefined/status/1929024969419493830,1206208219950923776,
1929019240947888334,Sun Jun 01 03:56:58 +0000 2025,0,@txtdrjkt Tiba2 banget setelah ada vaksin dari Bill gates ,1929024345986445455,,txtdrjkt,in,,0,0,0,https://x.com/undefined/status/1929024345986445455,4640101520,
1929023824361914805,Sun Jun 01 03:54:53 +0000 2025,0,Ohhh buat vaksin bill gates,1929023824361914805,,,in,,0,0,0,https://x.com/undefined/status/1929023824361914805,1328237098743173122,
1929019240947888334,Sun Jun 01 03:42:23 +0000 2025,1,@txtdrjkt biar kita di vaksin tapi pake vaksin bill gates. biar uji cobanya sukses,1929020677606224337,,txtdrjkt,in,,0,3,0,https://x.com/undefined/status/1929020677606224337,1355770328,
1929020521649246601,Sun Jun 01 03:41:46 +0000 2025,0,kemarin kan prabowo abis ketemu Bill Gates buat uji coba vaksin. wajar lah biar di vaksin lgi tapi pake punya yg bill gates.,1929020521649246601,,,in,,0,0,0,https://x.com/undefined/status/1929020521649246601,1355770328,
1928989763861692736,Sun Jun 01 02:04:01 +0000 2025,4,@bonapasogit24 @susi2001122 @OMB4K13 @H1m4_W4r1 @EviDrajat @Hermoyliana @Rasto66010876 @4rios16 @Jokond0 @JonsManik72399 @RickyKardjono Oh perlu vaksin Bill Gates ini... Sabar ya..lae Toba,1928995920856645670,,bonapasogit24,in,,0,2,0,https://x.com/undefined/status/1928995920856645670,1260061504767836162,
1928817390604648878,Sun Jun 01 01:09:22 +0000 2025,6,@AirinDatangLagi Pejabat2 negara be like: awas lho kasus covid-19 marak lagi buruan suntik vaksin TBC dari Bill Gates.... (Biasa aji mumpung drpd kerepotan cari sukarelawan.....),1928982168656867619,,AirinDatangLagi,in,,0,0,0,https://x.com/undefined/status/1928982168656867619,3139555602,
1928789301879517516,Sun Jun 01 01:02:28 +0000 2025,0,@V3g3L Ingat bill gates dtg ke indo buat jual vaksin TBC ke rakyat indo lewat pemerintah...?? Jadi jangan percaya semua soal copid copad... Soalnya kita warg bakan di vaksin oleh vaksin bill gates yg mana masih penuh tanda tanya... Takutnya depopulasi tujuan big farm,1928980433938821425,,P3gEl,in,,0,0,0,https://x.com/undefined/status/1928980433938821425,1604676088889626624,
1928971430722781345,Sun Jun 01 00:26:42 +0000 2025,0,Biar vaksin Bill Gates dianggap sukses karena masyarakat mgkn tidak ada yang mau di jadikan bahan percobaan wkwkwk,1928971430722781345,,,in,,1,0,0,https://x.com/undefined/status/1928971430722781345,84843785,
1928789301879517516,Sat May 31 23:46:32 +0000 2025,0,@V3g3L Buset gak mau divaksin lagi takut yg disuntikin vaksin TBC Bill Gates ,1928961323318095978,,P3gEl,in,,0,0,0,https://x.com/undefined/status/1928961323318095978,1683381507472359424,
1928789301879517516,Sat May 31 23:16:26 +0000 2025,1,@V3g3L Biar vaksin bill gates bisa masuk,1928953748371505604,,P3gEl,in,,0,0,0,https://x.com/undefined/status/1928953748371505604,1867821312275886080,
1928789301879517516,Sat May 31 21:46:49 +0000 2025,1,@V3g3L biar vaksin TBC punya Bill Gates bisa lancar,1928931195011715193,,P3gEl,in,,0,0,0,https://x.com/undefined/status/1928931195011715193,573597846,
1928866562913574965,Sat May 31 21:07:39 +0000 2025,0,@Senjananindah_ @CryptoWaveID biar kelinci percobaan vaksin baru bill gates berjalan lancar.,1928921338720198961,,pengutothemoon1,in,,0,0,0,https://x.com/undefined/status/1928921338720198961,1896556974218838016,
1928866562913574965,Sat May 31 21:07:30 +0000 2025,0,@ripeb29 @CryptoWaveID biar kelinci percobaan vaksin baru bill gates berjalan lancar,1928921301441188227,,ripeb29,in,,0,0,0,https://x.com/undefined/status/1928921301441188227,1896556974218838016,
1928909985926230227,Sat May 31 20:22:32 +0000 2025,0,Kantor Budi Gunadi Mau Digeruduk Massa soal Vaksin Bill Gates https://t.co/WEzV7SuRHG,1928909985926230227,,,in,,0,0,0,https://x.com/undefined/status/1928909985926230227,2711666228,
1928789301879517516,Sat May 31 18:54:47 +0000 2025,0,@V3g3L hati hati ini berita bohong ah ini biar vaksin Bill gates di uji coba,1928887902722760857,,P3gEl,in,,0,0,0,https://x.com/undefined/status/1928887902722760857,1457696207409606664,
1928789301879517516,Sat May 31 18:13:37 +0000 2025,2,@V3g3L Awas ada udang dibalik batu itu dikasih peringatan covid-19 ntar ada disuruh vaksin sama pemerintah nah gong nya vaksin itu adalah vaksin uji coba dari bill gates ,1928877540078399508,,P3gEl,in,,0,0,0,https://x.com/undefined/status/1928877540078399508,1258576436274671616,
1928643714705932442,Sat May 31 17:36:27 +0000 2025,0,@NyaiNeneng Itu air hasil endapan permentasi yg buatnya dgn anggur merah yg di injek² pake sepatu boot..didiemkan selama 10 hari jadilah cairan bening yg naik ke atas yg di sedot pake selang infus sudah terpake pasien yg di vaksin tbc dgn vaksin Bill Gates lalu di minum orang² Barat,1928868188072165629,,NyaiNeneng,in,,0,0,0,https://x.com/undefined/status/1928868188072165629,1758040418653241344,
1928819499941212263,Sat May 31 17:25:49 +0000 2025,3,@Mdy_Asmara1701 Vaksin bill gates yg tbc bakal berubah jdi vaksin covid kah namanya? Konstitusi aja di acak² rakyat dikibulin nama doang mah gampang,1928865514173956300,,Mdy_Asmara1701,in,,0,0,0,https://x.com/undefined/status/1928865514173956300,1380125654981636096,
1928860220752540099,Sat May 31 17:04:47 +0000 2025,0,Apakah bill gates akan melakukan hal yang sama melalui vaksin TBC yang rakyat Indonesia menjadi kelinci percobaan kami minta para pejabat TNI polri yang duluan,1928860220752540099,,,in,,0,0,0,https://x.com/undefined/status/1928860220752540099,1298982893545381889,
1928789301879517516,Sat May 31 16:01:35 +0000 2025,0,@V3g3L Biar bisa di vaksin pake vaksin TBC Bill gates,1928844314093690914,,P3gEl,in,,0,0,0,https://x.com/undefined/status/1928844314093690914,819135665753329665,
1928834719401058634,Sat May 31 15:59:30 +0000 2025,0,@Autosultan_team Kan ada vaksin bill gates kmren eh itu kan vaksin btc yah,1928843788463534532,,Autosultan_team,in,,0,0,0,https://x.com/undefined/status/1928843788463534532,3215576645,
1928842990690382272,Sat May 31 15:56:19 +0000 2025,0,setelah Bill Gates dateng ke Indo untuk uji vaksin TBC terbitlah peringatan wabah Covid-19++ Aaaasuudahlah!,1928842990690382272,,,in,,0,0,0,https://x.com/undefined/status/1928842990690382272,61270666,
1928835822717120647,Sat May 31 15:27:50 +0000 2025,0,mau2xnya di bohongi bill gates pandemi vaksin tai ngasu ,1928835822717120647,,,in,,0,0,0,https://x.com/undefined/status/1928835822717120647,1522171052,
1928817390604648878,Sat May 31 15:17:23 +0000 2025,0,@AirinDatangLagi vaksin nya bill gates biar laris...,1928833190170415415,,AirinDatangLagi,in,,0,0,0,https://x.com/undefined/status/1928833190170415415,1686333533454036993,
1928789301879517516,Sat May 31 14:24:10 +0000 2025,0,@V3g3L Wajib vaksin ke 5 tp vaksin nya bill gates hehehe,1928819800597311914,,P3gEl,in,,0,0,0,https://x.com/undefined/status/1928819800597311914,58691721,
1928789301879517516,Sat May 31 14:13:40 +0000 2025,21,@V3g3L Ada covid Cina lagi ? Kok covid sejak dulu dari Cina yang tentu saja Cina sudah nyiapkan vaksin juga .Bill Gates bikin pabrik vaksin TBC di Singapore tapi warga RI dijadikan kelinci percobaan vaksin TBC tsb. Giliran untung Singapure dapat RI giliran jadi kelinci pètcobaannya .,1928817155690107292,,P3gEl,in,,0,6,2,https://x.com/undefined/status/1928817155690107292,1829401555327688704,
1928789301879517516,Sat May 31 14:08:22 +0000 2025,0,@V3g3L Halah gimmick vaksin ujicoba bill gates,1928815821280735539,,P3gEl,in,,0,0,0,https://x.com/undefined/status/1928815821280735539,2418533455,
